alchemy | Alchemy | plant_flasks.jpg
artificery | Artificery | lamp_workshop.jpg
astronomy | Astronomy | aurora.jpeg
biology | Biology | owl_handler.jpg
chemistry | Chemistry | glass_burning.jpg
cryptography | Cryptography | investigator_writing.jpg
abst | Generalized Abstract Nonsense |    ? (something ridiculous)
history | History | vaulted_library.jpg
riddles | Is this the Department of Riddles? | snow_bubble.jpg
melodrama | Melodrama | mask_and_rose.jpg
necrobiology | Necrobiology | skull_crypt.jpg
planology | Planology |   ?   (obviously magical stuff?)
labeling | Poor Labeling | r.jpg
deadlang | Revered Dead Languages | arched_windows_light.jpg
villageidiocy | Village Idiocy | jesters_joking.png
